,Client Type,Future Index Long,Future Index Short,Future Stock Long,Future Stock Short       ,Option Index Call Long,Option Index Put Long,Option Index Call Short,Option Index Put Short,Option Stock Call Long,Option Stock Put Long,Option Stock Call Short,Option Stock Put Short,Total Long Contracts      ,Total Short Contracts,Date
0,Client,244810,77464,3250779,294315,3863212,2826521,3647290,3573429,2358177,825355,1343194,1179028,13368854,10114720,29-06-2026
1,DII,82029,11796,469740,4482036,6109,25857,50,194,783,43012,408852,17653,627530,4920581,29-06-2026
2,FII,60489,294940,4035844,3359553,871182,1263889,1116554,647669,297462,462641,501572,302892,6991507,6223179,29-06-2026
3,Pro,49806,52934,964315,584774,1410184,1209175,1386793,1104152,1369821,1256035,1772625,1087470,6259337,5988748,29-06-2026
4,TOTAL,437134,437134,8720678,8720678,6150687,5325443,6150687,5325443,4026243,2587043,4026243,2587043,27247228,27247228,29-06-2026
5,Client,247940,61833,3159794,185689,1786336,1224600,1594036,1941469,1105057,411416,642125,651636,7935143,5076787,30-06-2026
6,DII,72667,11786,246518,4278999,3350,23205,0,179,51,32387,70400,2499,378178,4363863,30-06-2026
7,FII,33502,289912,3743679,3233585,330405,750617,563503,218081,60661,105861,109986,66164,5024724,4481231,30-06-2026
8,Pro,39762,30340,854102,305820,575773,700644,538325,539336,445389,612221,788647,441586,3227890,2644054,30-06-2026
9,TOTAL,393871,393871,8004093,8004093,2695864,2699065,2695864,2699065,1611158,1161885,1611158,1161885,16565936,16565936,30-06-2026
10,Client,251066,63543,3194768,198901,2163161,1888743,2028147,2586510,1345153,502739,783794,753173,9345630,6414068,01-07-2026
11,DII,72675,11786,253022,4287615,3485,25675,0,179,125,33238,134092,2939,388220,4436611,01-07-2026
12,FII,32476,292535,3771958,3275109,424988,881237,674108,375453,89291,142092,154834,98102,5342042,4870141,01-07-2026
13,Pro,40082,28435,869585,327708,736795,907476,626175,740987,595463,727741,957312,551596,3877142,3232213,01-07-2026
14,TOTAL,396299,396299,8089333,8089333,3328429,3703130,3328429,3703130,2030032,1405810,2030032,1405810,18953033,18953033,01-07-2026
15,Client,243441,65455,3188761,209794,2268313,2447661,2209220,3024894,1398494,552702,879183,798193,10099372,7186739,02-07-2026
16,DII,76185,11589,260380,4299854,3460,25675,40,1019,91,34259,160828,4275,400050,4477605,02-07-2026
17,FII,29443,286343,3804985,3270416,439185,859057,664085,417015,120063,171871,184025,118217,5424604,4940101,02-07-2026
